model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../1_rigidbody/rigidbody_25.pdb	-	1	-1.804	nan	nan	0.000	0.000	nan	0.000	-	-	-	0.000	3309.630	677.129	6.339	0.000	0.000	0.000	-1.741	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_52.pdb	-	2	-1.649	nan	nan	362.467	362.467	nan	24.644	-	-	-	0.000	3309.620	677.141	4.304	0.000	0.000	0.000	-1.605	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_38.pdb	-	3	-1.298	nan	nan	193.642	193.642	nan	29.503	-	-	-	0.000	3309.630	677.199	5.016	0.000	0.000	0.000	-1.248	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_60.pdb	-	4	-1.219	nan	nan	372.331	372.331	nan	29.165	-	-	-	0.000	3309.620	677.130	41.422	0.000	0.000	0.000	-0.805	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_33.pdb	-	5	-1.193	nan	nan	401.567	401.567	nan	27.470	-	-	-	0.000	3309.620	677.119	32.372	0.000	0.000	0.000	-0.870	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_27.pdb	-	6	-1.120	nan	nan	412.819	412.819	nan	17.100	-	-	-	0.000	3309.620	677.128	0.648	0.000	0.000	0.000	-1.113	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_58.pdb	-	7	-1.115	nan	nan	359.592	359.592	nan	23.327	-	-	-	0.000	3309.620	677.120	27.445	0.000	0.000	0.000	-0.840	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_12.pdb	-	8	-1.106	nan	nan	362.131	362.131	nan	24.415	-	-	-	0.000	3309.620	677.154	40.804	0.000	0.000	0.000	-0.698	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_57.pdb	-	9	-0.635	nan	nan	188.275	188.275	nan	19.310	-	-	-	0.000	3309.620	677.201	12.907	0.000	0.000	0.000	-0.506	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_44.pdb	-	10	-0.596	nan	nan	350.357	350.357	nan	9.620	-	-	-	0.000	3309.630	677.130	3.166	0.000	0.000	0.000	-0.564	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_16.pdb	-	11	-0.527	nan	nan	397.060	397.060	nan	27.421	-	-	-	0.000	3309.620	677.165	8.937	0.000	0.000	0.000	-0.437	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_37.pdb	-	12	-0.162	nan	nan	188.655	188.655	nan	21.137	-	-	-	0.000	3309.620	677.155	40.936	0.000	0.000	0.000	0.248	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_55.pdb	-	13	-0.055	nan	nan	285.877	285.877	nan	16.387	-	-	-	0.000	3309.630	677.172	8.186	0.000	0.000	0.000	0.027	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_2.pdb	-	14	0.021	nan	nan	328.704	328.704	nan	14.832	-	-	-	0.000	3309.620	677.097	0.138	0.000	0.000	0.000	0.023	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_36.pdb	-	15	0.042	nan	nan	398.979	398.979	nan	20.831	-	-	-	0.000	3309.620	677.138	36.600	0.000	0.000	0.000	0.408	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_1.pdb	-	16	0.049	nan	nan	211.023	211.023	nan	29.259	-	-	-	0.000	3309.620	677.162	3.363	0.000	0.000	0.000	0.082	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_49.pdb	-	17	0.121	nan	nan	214.480	214.480	nan	18.233	-	-	-	0.000	3309.620	677.145	5.038	0.000	0.000	0.000	0.171	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_48.pdb	-	18	0.155	nan	nan	347.641	347.641	nan	29.500	-	-	-	0.000	3309.620	677.110	15.080	0.000	0.000	0.000	0.306	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../1_rigidbody/rigidbody_32.pdb	-	19	0.199	nan	nan	229.739	229.739	nan	9.518	-	-	-	0.000	3309.620	677.112	0.808	0.000	0.000	0.000	0.207	2251.260	0.000	3240.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000
