model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../2_flexref/flexref_19.pdb	-	1	-1.140	nan	nan	0.000	0.000	nan	0.000	-	-	-	0.000	3314.260	692.539	9.292	0.000	0.000	0.000	-1.047	2267.540	0.000	3247.350	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_24.pdb	-	2	-1.004	nan	nan	217.464	217.464	nan	21.238	-	-	-	0.000	3313.510	692.418	27.522	0.000	0.000	0.000	-0.729	2269.620	0.000	3247.240	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_57.pdb	-	3	-0.850	nan	nan	97.261	97.261	nan	18.050	-	-	-	0.000	3314.170	692.602	4.341	0.000	0.000	0.000	-0.807	2269.210	0.000	3247.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_27.pdb	-	4	-0.722	nan	nan	357.052	357.052	nan	18.917	-	-	-	0.000	3313.840	692.492	6.197	0.000	0.000	0.000	-0.660	2269.580	0.000	3246.950	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_22.pdb	-	5	-0.582	nan	nan	244.390	244.390	nan	19.414	-	-	-	0.000	3313.970	692.870	21.850	0.000	0.000	0.000	-0.363	2269.640	0.000	3246.970	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_52.pdb	-	6	-0.441	nan	nan	301.494	301.494	nan	25.678	-	-	-	0.000	3313.630	692.810	14.590	0.000	0.000	0.000	-0.295	2269.940	0.000	3246.920	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_10.pdb	-	7	-0.339	nan	nan	399.032	399.032	nan	17.546	-	-	-	0.000	3313.590	692.572	1.492	0.000	0.000	0.000	-0.324	2267.570	0.000	3247.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_47.pdb	-	8	-0.333	nan	nan	303.148	303.148	nan	18.633	-	-	-	0.000	3314.160	692.561	2.352	0.000	0.000	0.000	-0.310	2267.630	0.000	3246.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_30.pdb	-	9	-0.286	nan	nan	260.114	260.114	nan	34.120	-	-	-	0.000	3313.060	691.223	26.663	0.000	0.000	0.000	-0.020	2266.910	0.000	3246.760	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_3.pdb	-	10	-0.207	nan	nan	209.476	209.476	nan	27.388	-	-	-	0.000	3313.820	692.309	0.587	0.000	0.000	0.000	-0.202	2267.530	0.000	3247.220	0.000	0.000	0.000	0.000	0.000	0.000	0.000
