Model	1_rigidbody_rank	2_flexref_rank	3_emref_rank	Sum-of-Ranks
emref_52.pdb	2	6	1	9
emref_39.pdb	29	38	2	69
emref_54.pdb	60	60	3	123
emref_25.pdb	1	31	4	36
emref_47.pdb	51	8	5	64
emref_19.pdb	56	1	6	63
emref_44.pdb	10	16	7	33
emref_34.pdb	42	33	8	83
emref_30.pdb	27	9	9	45
emref_38.pdb	3	39	10	52
emref_24.pdb	25	2	11	38
emref_49.pdb	17	21	12	50
emref_51.pdb	33	55	13	101
emref_37.pdb	12	28	14	54
emref_58.pdb	7	59	15	81
emref_15.pdb	54	18	16	88
emref_13.pdb	36	43	17	96
emref_43.pdb	37	44	18	99
emref_35.pdb	58	32	19	109
emref_5.pdb	50	52	20	122
emref_18.pdb	52	56	21	129
emref_36.pdb	15	22	22	59
emref_56.pdb	46	49	23	118
emref_4.pdb	35	57	24	116
emref_40.pdb	31	53	25	109
emref_9.pdb	20	12	26	58
emref_1.pdb	16	34	27	77
emref_31.pdb	21	26	28	75
emref_16.pdb	11	30	29	70
emref_11.pdb	24	17	30	71
emref_42.pdb	48	24	31	103
emref_28.pdb	59	11	32	102
emref_22.pdb	43	5	33	81
emref_14.pdb	41	37	34	112
emref_32.pdb	19	50	35	104
emref_45.pdb	38	51	36	125
emref_26.pdb	28	47	37	112
emref_27.pdb	6	4	38	48
emref_10.pdb	55	7	39	101
emref_57.pdb	9	3	40	52
