00_topo1	00_topo2	1_rigidbody	1_rigidbody_rank	2_flexref	2_flexref_rank	3_emref	3_emref_rank
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_52.pdb	2	flexref_52.pdb	6	emref_52.pdb	1
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_39.pdb	29	flexref_39.pdb	38	emref_39.pdb	2
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_54.pdb	60	flexref_54.pdb	60	emref_54.pdb	3
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_25.pdb	1	flexref_25.pdb	31	emref_25.pdb	4
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_47.pdb	51	flexref_47.pdb	8	emref_47.pdb	5
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_19.pdb	56	flexref_19.pdb	1	emref_19.pdb	6
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_44.pdb	10	flexref_44.pdb	16	emref_44.pdb	7
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_34.pdb	42	flexref_34.pdb	33	emref_34.pdb	8
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_30.pdb	27	flexref_30.pdb	9	emref_30.pdb	9
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_38.pdb	3	flexref_38.pdb	39	emref_38.pdb	10
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_24.pdb	25	flexref_24.pdb	2	emref_24.pdb	11
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_49.pdb	17	flexref_49.pdb	21	emref_49.pdb	12
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_51.pdb	33	flexref_51.pdb	55	emref_51.pdb	13
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_37.pdb	12	flexref_37.pdb	28	emref_37.pdb	14
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_58.pdb	7	flexref_58.pdb	59	emref_58.pdb	15
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_15.pdb	54	flexref_15.pdb	18	emref_15.pdb	16
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_13.pdb	36	flexref_13.pdb	43	emref_13.pdb	17
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_43.pdb	37	flexref_43.pdb	44	emref_43.pdb	18
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_35.pdb	58	flexref_35.pdb	32	emref_35.pdb	19
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_5.pdb	50	flexref_5.pdb	52	emref_5.pdb	20
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_18.pdb	52	flexref_18.pdb	56	emref_18.pdb	21
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_36.pdb	15	flexref_36.pdb	22	emref_36.pdb	22
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_56.pdb	46	flexref_56.pdb	49	emref_56.pdb	23
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_4.pdb	35	flexref_4.pdb	57	emref_4.pdb	24
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_40.pdb	31	flexref_40.pdb	53	emref_40.pdb	25
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_9.pdb	20	flexref_9.pdb	12	emref_9.pdb	26
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_1.pdb	16	flexref_1.pdb	34	emref_1.pdb	27
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_31.pdb	21	flexref_31.pdb	26	emref_31.pdb	28
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_16.pdb	11	flexref_16.pdb	30	emref_16.pdb	29
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_11.pdb	24	flexref_11.pdb	17	emref_11.pdb	30
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_42.pdb	48	flexref_42.pdb	24	emref_42.pdb	31
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_28.pdb	59	flexref_28.pdb	11	emref_28.pdb	32
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_22.pdb	43	flexref_22.pdb	5	emref_22.pdb	33
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_14.pdb	41	flexref_14.pdb	37	emref_14.pdb	34
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_32.pdb	19	flexref_32.pdb	50	emref_32.pdb	35
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_45.pdb	38	flexref_45.pdb	51	emref_45.pdb	36
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_26.pdb	28	flexref_26.pdb	47	emref_26.pdb	37
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_27.pdb	6	flexref_27.pdb	4	emref_27.pdb	38
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_10.pdb	55	flexref_10.pdb	7	emref_10.pdb	39
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_57.pdb	9	flexref_57.pdb	3	emref_57.pdb	40
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_50.pdb	45	flexref_50.pdb	48	emref_50.pdb	41
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_33.pdb	5	flexref_33.pdb	40	emref_33.pdb	42
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_60.pdb	4	flexref_60.pdb	19	emref_60.pdb	43
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_53.pdb	22	flexref_53.pdb	54	emref_53.pdb	44
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_8.pdb	44	flexref_8.pdb	36	emref_8.pdb	45
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_46.pdb	23	flexref_46.pdb	29	emref_46.pdb	46
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_17.pdb	26	flexref_17.pdb	13	emref_17.pdb	47
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_29.pdb	47	flexref_29.pdb	35	emref_29.pdb	48
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_6.pdb	30	flexref_6.pdb	46	emref_6.pdb	49
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_21.pdb	40	flexref_21.pdb	20	emref_21.pdb	50
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_12.pdb	8	flexref_12.pdb	42	emref_12.pdb	51
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_41.pdb	53	flexref_41.pdb	15	emref_41.pdb	52
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_3.pdb	49	flexref_3.pdb	10	emref_3.pdb	53
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_20.pdb	32	flexref_20.pdb	14	emref_20.pdb	54
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_59.pdb	39	flexref_59.pdb	58	emref_59.pdb	55
4CI1_-_prepared_haddock.psf	7Y3M_-_prepared_haddock.psf	rigidbody_7.pdb	34	flexref_7.pdb	27	emref_7.pdb	56
