model,md5,caprieval_rank,score,irmsd,fnat,lrmsd,ilrmsd,dockq,rmsd,cluster_id,cluster_ranking,model-cluster_ranking,air,angles,bonds,bsa,cdih,coup,dani,desolv,dihe,elec,improper,rdcs,rg,sym,total,vdw,vean,xpcs
../../3_emref/emref_52.pdb,-,1,-2.161,nan,nan,0.000,0.000,nan,0.000,-,-,-,0.000,322.733,60.564,58.992,0.000,0.000,0.000,-2.161,2332.950,0.000,83.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_39.pdb,-,2,-2.097,nan,nan,228.462,228.462,nan,23.898,-,-,-,0.000,326.127,61.040,-999999.000,0.000,0.000,0.000,-2.097,2334.000,0.000,84.295,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_54.pdb,-,3,-1.531,nan,nan,390.285,390.285,nan,31.756,-,-,-,0.000,328.211,60.952,-999999.000,0.000,0.000,0.000,-1.531,2333.720,0.000,84.183,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_25.pdb,-,4,-0.966,nan,nan,380.698,380.698,nan,25.481,-,-,-,0.000,330.796,61.869,4.820,0.000,0.000,0.000,-0.966,2334.200,0.000,86.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_47.pdb,-,5,-0.949,nan,nan,401.483,401.483,nan,28.636,-,-,-,0.000,318.292,59.896,-999999.000,0.000,0.000,0.000,-0.949,2335.490,0.000,84.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_19.pdb,-,6,-0.947,nan,nan,301.468,301.468,nan,25.593,-,-,-,0.000,323.592,61.071,-999999.000,0.000,0.000,0.000,-0.947,2334.690,0.000,86.382,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_44.pdb,-,7,-0.899,nan,nan,65.970,65.970,nan,23.087,-,-,-,0.000,323.989,60.259,4.882,0.000,0.000,0.000,-0.899,2335.740,0.000,84.419,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_34.pdb,-,8,-0.840,nan,nan,306.988,306.988,nan,18.300,-,-,-,0.000,325.136,59.543,19.957,0.000,0.000,0.000,-0.840,2330.750,0.000,83.748,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_30.pdb,-,9,-0.785,nan,nan,166.951,166.951,nan,35.704,-,-,-,0.000,314.427,60.114,-999999.000,0.000,0.000,0.000,-0.785,2323.800,0.000,81.199,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_38.pdb,-,10,-0.765,nan,nan,238.628,238.628,nan,21.175,-,-,-,0.000,323.865,60.548,-999999.000,0.000,0.000,0.000,-0.765,2332.110,0.000,85.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_24.pdb,-,11,-0.755,nan,nan,237.792,237.792,nan,30.742,-,-,-,0.000,324.912,59.994,-999999.000,0.000,0.000,0.000,-0.755,2335.270,0.000,85.556,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_49.pdb,-,12,-0.668,nan,nan,317.863,317.863,nan,29.970,-,-,-,0.000,321.082,60.773,17.552,0.000,0.000,0.000,-0.668,2330.780,0.000,84.303,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_51.pdb,-,13,-0.641,nan,nan,132.122,132.122,nan,19.143,-,-,-,0.000,323.625,61.443,10.282,0.000,0.000,0.000,-0.641,2330.270,0.000,82.573,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_37.pdb,-,14,-0.616,nan,nan,383.805,383.805,nan,24.782,-,-,-,0.000,327.125,60.434,1.033,0.000,0.000,0.000,-0.616,2334.220,0.000,83.852,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_58.pdb,-,15,-0.532,nan,nan,274.400,274.400,nan,30.866,-,-,-,0.000,326.834,60.875,4.332,0.000,0.000,0.000,-0.532,2334.390,0.000,85.343,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_15.pdb,-,16,-0.494,nan,nan,376.383,376.383,nan,21.578,-,-,-,0.000,322.184,60.530,-999999.000,0.000,0.000,0.000,-0.494,2334.000,0.000,84.581,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_13.pdb,-,17,-0.432,nan,nan,295.646,295.646,nan,26.358,-,-,-,0.000,328.042,60.548,-999999.000,0.000,0.000,0.000,-0.432,2333.410,0.000,85.497,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_43.pdb,-,18,-0.379,nan,nan,124.704,124.704,nan,13.177,-,-,-,0.000,322.736,61.217,-999999.000,0.000,0.000,0.000,-0.379,2331.380,0.000,81.395,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_35.pdb,-,19,-0.366,nan,nan,413.952,413.952,nan,16.576,-,-,-,0.000,326.424,60.933,-999999.000,0.000,0.000,0.000,-0.366,2333.640,0.000,87.495,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_5.pdb,-,20,-0.273,nan,nan,214.252,214.252,nan,20.035,-,-,-,0.000,325.225,59.760,-999999.000,0.000,0.000,0.000,-0.273,2337.090,0.000,83.903,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_18.pdb,-,21,-0.250,nan,nan,303.221,303.221,nan,22.023,-,-,-,0.000,322.337,59.660,5.641,0.000,0.000,0.000,-0.250,2336.190,0.000,86.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_36.pdb,-,22,-0.241,nan,nan,168.393,168.393,nan,29.302,-,-,-,0.000,325.715,60.782,9.080,0.000,0.000,0.000,-0.241,2334.840,0.000,83.058,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_56.pdb,-,23,-0.228,nan,nan,344.070,344.070,nan,25.174,-,-,-,0.000,327.093,60.353,19.893,0.000,0.000,0.000,-0.228,2333.940,0.000,85.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_4.pdb,-,24,-0.210,nan,nan,399.419,399.419,nan,28.319,-,-,-,0.000,318.717,59.504,3.044,0.000,0.000,0.000,-0.210,2336.500,0.000,82.855,0.000,0.000,0.000,0.000,0.000,0.000,0.000
