model,md5,caprieval_rank,score,irmsd,fnat,lrmsd,ilrmsd,dockq,rmsd,cluster_id,cluster_ranking,model-cluster_ranking,air,angles,bonds,bsa,cdih,coup,dani,desolv,dihe,elec,improper,rdcs,rg,sym,total,vdw,vean,xpcs
../../3_emref/emref_8.pdb,-,1,17.560,nan,nan,0.000,0.000,nan,0.000,-,-,-,186.848,325.838,61.252,55.752,0.000,0.000,0.000,-1.125,2335.940,0.000,83.638,0.000,0.000,0.000,186.848,0.000,0.000,0.000
../../3_emref/emref_55.pdb,-,2,17.860,nan,nan,244.155,244.155,nan,34.560,-,-,-,179.414,321.008,59.577,4.518,0.000,0.000,0.000,-0.081,2337.910,0.000,84.253,0.000,0.000,0.000,179.414,0.000,0.000,0.000
../../3_emref/emref_59.pdb,-,3,18.579,nan,nan,372.384,372.384,nan,17.411,-,-,-,188.686,325.883,60.439,-999999.000,0.000,0.000,0.000,-0.290,2334.690,0.000,82.945,0.000,0.000,0.000,188.686,0.000,0.000,0.000
../../3_emref/emref_9.pdb,-,4,19.136,nan,nan,334.564,334.564,nan,22.446,-,-,-,191.018,327.600,60.859,-999999.000,0.000,0.000,0.000,0.034,2335.480,0.000,84.891,0.000,0.000,0.000,191.018,0.000,0.000,0.000
../../3_emref/emref_53.pdb,-,5,19.936,nan,nan,167.495,167.495,nan,26.175,-,-,-,195.139,327.747,61.656,-999999.000,0.000,0.000,0.000,0.422,2338.340,0.000,83.391,0.000,0.000,0.000,195.139,0.000,0.000,0.000
../../3_emref/emref_31.pdb,-,6,21.852,nan,nan,322.181,322.181,nan,24.244,-,-,-,206.723,320.977,59.850,-999999.000,0.000,0.000,0.000,1.180,2336.960,0.000,84.849,0.000,0.000,0.000,206.723,0.000,0.000,0.000
../../3_emref/emref_37.pdb,-,7,25.337,nan,nan,78.723,78.723,nan,28.548,-,-,-,255.539,320.438,60.638,1.428,0.000,0.000,0.000,-0.217,2336.590,0.000,84.869,0.000,0.000,0.000,255.539,0.000,0.000,0.000
../../3_emref/emref_60.pdb,-,8,25.363,nan,nan,243.483,243.483,nan,29.963,-,-,-,267.624,333.274,61.042,14.695,0.000,0.000,0.000,-1.399,2336.210,0.000,85.968,0.000,0.000,0.000,267.624,0.000,0.000,0.000
../../3_emref/emref_29.pdb,-,9,25.398,nan,nan,403.440,403.440,nan,16.032,-,-,-,259.773,323.539,60.794,-999999.000,0.000,0.000,0.000,-0.579,2336.710,0.000,84.190,0.000,0.000,0.000,259.773,0.000,0.000,0.000
../../3_emref/emref_33.pdb,-,10,25.434,nan,nan,262.704,262.704,nan,9.950,-,-,-,267.943,325.746,60.886,20.938,0.000,0.000,0.000,-1.360,2334.730,0.000,85.267,0.000,0.000,0.000,267.943,0.000,0.000,0.000
../../3_emref/emref_17.pdb,-,11,25.465,nan,nan,383.866,383.866,nan,10.653,-,-,-,251.996,328.523,60.418,-999999.000,0.000,0.000,0.000,0.265,2335.230,0.000,84.184,0.000,0.000,0.000,251.996,0.000,0.000,0.000
../../3_emref/emref_40.pdb,-,12,25.733,nan,nan,321.281,321.281,nan,18.751,-,-,-,256.545,327.552,60.844,-999999.000,0.000,0.000,0.000,0.078,2336.170,0.000,84.699,0.000,0.000,0.000,256.545,0.000,0.000,0.000
../../3_emref/emref_57.pdb,-,13,25.809,nan,nan,179.649,179.649,nan,18.403,-,-,-,259.725,328.544,61.092,5.283,0.000,0.000,0.000,-0.164,2336.260,0.000,85.197,0.000,0.000,0.000,259.725,0.000,0.000,0.000
../../3_emref/emref_32.pdb,-,14,25.975,nan,nan,297.451,297.451,nan,14.178,-,-,-,267.731,323.581,61.901,2.967,0.000,0.000,0.000,-0.798,2329.100,0.000,81.925,0.000,0.000,0.000,267.731,0.000,0.000,0.000
../../3_emref/emref_46.pdb,-,15,25.979,nan,nan,298.678,298.678,nan,32.467,-,-,-,268.221,324.124,60.934,-999999.000,0.000,0.000,0.000,-0.843,2334.210,0.000,84.599,0.000,0.000,0.000,268.221,0.000,0.000,0.000
../../3_emref/emref_30.pdb,-,16,26.382,nan,nan,257.721,257.721,nan,21.559,-,-,-,263.757,320.907,60.863,-999999.000,0.000,0.000,0.000,0.006,2338.830,0.000,84.322,0.000,0.000,0.000,263.757,0.000,0.000,0.000
../../3_emref/emref_18.pdb,-,17,26.434,nan,nan,403.660,403.660,nan,23.807,-,-,-,261.936,326.081,60.721,-999999.000,0.000,0.000,0.000,0.240,2334.130,0.000,84.061,0.000,0.000,0.000,261.936,0.000,0.000,0.000
../../3_emref/emref_38.pdb,-,18,26.608,nan,nan,313.807,313.807,nan,17.668,-,-,-,273.585,322.457,60.720,12.778,0.000,0.000,0.000,-0.750,2339.800,0.000,83.394,0.000,0.000,0.000,273.585,0.000,0.000,0.000
../../3_emref/emref_13.pdb,-,19,26.708,nan,nan,283.937,283.937,nan,11.452,-,-,-,265.585,319.332,59.821,-999999.000,0.000,0.000,0.000,0.150,2334.300,0.000,83.369,0.000,0.000,0.000,265.585,0.000,0.000,0.000
../../3_emref/emref_51.pdb,-,20,27.080,nan,nan,399.900,399.900,nan,16.531,-,-,-,253.898,329.099,61.033,7.243,0.000,0.000,0.000,1.690,2334.450,0.000,85.782,0.000,0.000,0.000,253.898,0.000,0.000,0.000
../../3_emref/emref_22.pdb,-,21,27.784,nan,nan,305.518,305.518,nan,8.580,-,-,-,278.023,318.475,60.602,0.073,0.000,0.000,0.000,-0.019,2329.440,0.000,83.207,0.000,0.000,0.000,278.023,0.000,0.000,0.000
../../3_emref/emref_10.pdb,-,22,28.113,nan,nan,145.976,145.976,nan,18.836,-,-,-,267.628,326.724,60.818,13.811,0.000,0.000,0.000,1.350,2334.650,0.000,86.751,0.000,0.000,0.000,267.628,0.000,0.000,0.000
../../3_emref/emref_16.pdb,-,23,28.130,nan,nan,46.184,46.184,nan,15.876,-,-,-,277.754,331.809,62.498,5.659,0.000,0.000,0.000,0.355,2335.200,0.000,85.405,0.000,0.000,0.000,277.754,0.000,0.000,0.000
../../3_emref/emref_54.pdb,-,24,30.171,nan,nan,401.899,401.899,nan,16.958,-,-,-,279.321,330.484,61.535,-999999.000,0.000,0.000,0.000,2.239,2334.210,0.000,85.468,0.000,0.000,0.000,279.321,0.000,0.000,0.000
../../3_emref/emref_42.pdb,-,25,31.727,nan,nan,215.307,215.307,nan,30.514,-,-,-,314.747,321.447,59.992,-999999.000,0.000,0.000,0.000,0.252,2337.980,0.000,85.568,0.000,0.000,0.000,314.747,0.000,0.000,0.000
../../3_emref/emref_34.pdb,-,26,31.773,nan,nan,359.305,359.305,nan,23.679,-,-,-,328.070,327.914,61.804,-999999.000,0.000,0.000,0.000,-1.034,2335.190,0.000,84.859,0.000,0.000,0.000,328.070,0.000,0.000,0.000
../../3_emref/emref_27.pdb,-,27,32.023,nan,nan,324.037,324.037,nan,24.765,-,-,-,320.812,325.688,61.077,-999999.000,0.000,0.000,0.000,-0.058,2334.440,0.000,84.271,0.000,0.000,0.000,320.812,0.000,0.000,0.000
../../3_emref/emref_12.pdb,-,28,32.095,nan,nan,269.345,269.345,nan,9.445,-,-,-,328.030,325.962,61.006,-999999.000,0.000,0.000,0.000,-0.708,2334.300,0.000,84.966,0.000,0.000,0.000,328.030,0.000,0.000,0.000
../../3_emref/emref_4.pdb,-,29,32.350,nan,nan,149.528,149.528,nan,22.606,-,-,-,338.177,317.542,60.349,-999999.000,0.000,0.000,0.000,-1.468,2329.040,0.000,83.609,0.000,0.000,0.000,338.177,0.000,0.000,0.000
../../3_emref/emref_49.pdb,-,30,32.580,nan,nan,388.836,388.836,nan,30.603,-,-,-,328.291,320.265,58.979,-999999.000,0.000,0.000,0.000,-0.249,2331.930,0.000,83.260,0.000,0.000,0.000,328.291,0.000,0.000,0.000
../../3_emref/emref_36.pdb,-,31,32.958,nan,nan,222.642,222.642,nan,20.517,-,-,-,321.946,315.760,60.625,-999999.000,0.000,0.000,0.000,0.763,2328.250,0.000,82.886,0.000,0.000,0.000,321.946,0.000,0.000,0.000
../../3_emref/emref_15.pdb,-,32,33.385,nan,nan,398.300,398.300,nan,28.684,-,-,-,334.447,313.772,59.222,-999999.000,0.000,0.000,0.000,-0.060,2329.470,0.000,81.020,0.000,0.000,0.000,334.447,0.000,0.000,0.000
../../3_emref/emref_50.pdb,-,33,33.763,nan,nan,95.080,95.080,nan,28.478,-,-,-,342.387,323.516,62.055,-999999.000,0.000,0.000,0.000,-0.475,2329.860,0.000,83.101,0.000,0.000,0.000,342.387,0.000,0.000,0.000
../../3_emref/emref_5.pdb,-,34,33.980,nan,nan,297.254,297.254,nan,21.810,-,-,-,332.516,321.788,60.772,1.805,0.000,0.000,0.000,0.729,2332.980,0.000,83.382,0.000,0.000,0.000,332.516,0.000,0.000,0.000
../../3_emref/emref_23.pdb,-,35,34.401,nan,nan,69.462,69.462,nan,29.262,-,-,-,344.238,325.863,61.286,-999999.000,0.000,0.000,0.000,-0.023,2335.810,0.000,84.107,0.000,0.000,0.000,344.238,0.000,0.000,0.000
../../3_emref/emref_45.pdb,-,36,34.476,nan,nan,326.725,326.725,nan,15.662,-,-,-,328.652,321.602,60.662,13.584,0.000,0.000,0.000,1.610,2332.210,0.000,82.016,0.000,0.000,0.000,328.652,0.000,0.000,0.000
../../3_emref/emref_56.pdb,-,37,35.644,nan,nan,353.357,353.357,nan,11.157,-,-,-,361.303,330.040,61.084,0.551,0.000,0.000,0.000,-0.486,2335.070,0.000,84.352,0.000,0.000,0.000,361.303,0.000,0.000,0.000
../../3_emref/emref_25.pdb,-,38,36.790,nan,nan,298.914,298.914,nan,33.860,-,-,-,350.105,326.211,61.521,-999999.000,0.000,0.000,0.000,1.780,2335.980,0.000,84.129,0.000,0.000,0.000,350.105,0.000,0.000,0.000
../../3_emref/emref_11.pdb,-,39,38.328,nan,nan,125.185,125.185,nan,21.298,-,-,-,402.333,325.784,60.834,-999999.000,0.000,0.000,0.000,-1.905,2336.390,0.000,83.712,0.000,0.000,0.000,402.333,0.000,0.000,0.000
../../3_emref/emref_26.pdb,-,40,40.396,nan,nan,402.790,402.790,nan,33.651,-,-,-,418.276,322.124,60.637,-999999.000,0.000,0.000,0.000,-1.432,2335.120,0.000,85.885,0.000,0.000,0.000,418.276,0.000,0.000,0.000
../../3_emref/emref_19.pdb,-,41,40.698,nan,nan,168.720,168.720,nan,34.473,-,-,-,408.248,323.059,60.265,2.993,0.000,0.000,0.000,-0.126,2332.360,0.000,84.414,0.000,0.000,0.000,408.248,0.000,0.000,0.000
../../3_emref/emref_47.pdb,-,42,41.032,nan,nan,46.780,46.780,nan,23.185,-,-,-,420.070,329.136,60.711,-999999.000,0.000,0.000,0.000,-0.975,2337.540,0.000,84.217,0.000,0.000,0.000,420.070,0.000,0.000,0.000
../../3_emref/emref_58.pdb,-,43,41.344,nan,nan,228.845,228.845,nan,33.140,-,-,-,409.819,321.637,60.111,3.924,0.000,0.000,0.000,0.363,2338.250,0.000,84.608,0.000,0.000,0.000,409.819,0.000,0.000,0.000
../../3_emref/emref_21.pdb,-,44,41.363,nan,nan,206.797,206.797,nan,21.643,-,-,-,404.511,325.010,60.910,-999999.000,0.000,0.000,0.000,0.912,2334.400,0.000,84.559,0.000,0.000,0.000,404.511,0.000,0.000,0.000
../../3_emref/emref_35.pdb,-,45,41.470,nan,nan,327.363,327.363,nan,26.062,-,-,-,412.183,330.874,60.943,-999999.000,0.000,0.000,0.000,0.252,2335.950,0.000,84.697,0.000,0.000,0.000,412.183,0.000,0.000,0.000
../../3_emref/emref_6.pdb,-,46,41.672,nan,nan,387.938,387.938,nan,27.474,-,-,-,419.863,326.990,61.191,12.673,0.000,0.000,0.000,-0.314,2336.470,0.000,84.762,0.000,0.000,0.000,419.863,0.000,0.000,0.000
../../3_emref/emref_39.pdb,-,47,41.830,nan,nan,108.355,108.355,nan,5.191,-,-,-,415.875,324.496,61.797,3.822,0.000,0.000,0.000,0.242,2341.370,0.000,82.870,0.000,0.000,0.000,415.875,0.000,0.000,0.000
../../3_emref/emref_24.pdb,-,48,41.920,nan,nan,382.189,382.189,nan,29.367,-,-,-,414.936,323.226,60.830,1.970,0.000,0.000,0.000,0.427,2335.790,0.000,85.840,0.000,0.000,0.000,414.936,0.000,0.000,0.000
../../3_emref/emref_28.pdb,-,49,42.021,nan,nan,158.056,158.056,nan,11.061,-,-,-,425.264,320.495,60.001,-999999.000,0.000,0.000,0.000,-0.505,2339.310,0.000,82.978,0.000,0.000,0.000,425.264,0.000,0.000,0.000
../../3_emref/emref_41.pdb,-,50,42.064,nan,nan,378.628,378.628,nan,23.528,-,-,-,419.927,317.447,60.475,15.517,0.000,0.000,0.000,0.071,2334.370,0.000,83.927,0.000,0.000,0.000,419.927,0.000,0.000,0.000
../../3_emref/emref_2.pdb,-,51,42.086,nan,nan,147.515,147.515,nan,29.355,-,-,-,410.623,327.234,61.412,-999999.000,0.000,0.000,0.000,1.023,2336.490,0.000,86.917,0.000,0.000,0.000,410.623,0.000,0.000,0.000
../../3_emref/emref_7.pdb,-,52,42.093,nan,nan,233.356,233.356,nan,31.891,-,-,-,424.836,322.547,61.333,-999999.000,0.000,0.000,0.000,-0.391,2329.960,0.000,81.987,0.000,0.000,0.000,424.836,0.000,0.000,0.000
../../3_emref/emref_48.pdb,-,53,42.379,nan,nan,254.191,254.191,nan,14.835,-,-,-,424.801,324.422,61.505,-999999.000,0.000,0.000,0.000,-0.101,2329.430,0.000,81.170,0.000,0.000,0.000,424.801,0.000,0.000,0.000
../../3_emref/emref_44.pdb,-,54,42.881,nan,nan,362.037,362.037,nan,25.292,-,-,-,406.815,324.006,61.822,-999999.000,0.000,0.000,0.000,2.200,2332.830,0.000,82.357,0.000,0.000,0.000,406.815,0.000,0.000,0.000
../../3_emref/emref_1.pdb,-,55,43.353,nan,nan,210.956,210.956,nan,32.710,-,-,-,431.752,326.143,60.753,-999999.000,0.000,0.000,0.000,0.178,2337.050,0.000,84.592,0.000,0.000,0.000,431.752,0.000,0.000,0.000
../../3_emref/emref_3.pdb,-,56,43.863,nan,nan,42.101,42.101,nan,27.266,-,-,-,424.088,325.223,61.009,-999999.000,0.000,0.000,0.000,1.454,2334.790,0.000,83.788,0.000,0.000,0.000,424.088,0.000,0.000,0.000
../../3_emref/emref_14.pdb,-,57,46.831,nan,nan,187.972,187.972,nan,16.385,-,-,-,467.874,326.565,60.780,3.063,0.000,0.000,0.000,0.043,2336.630,0.000,86.647,0.000,0.000,0.000,467.874,0.000,0.000,0.000
